AID,TAB,Topic,TopicIndex,Topic,TopicKeyWords
27,"Knowledge, Attitudes, Practices and Health Beliefs toward Leptospirosis among Urban and Rural Communities in Northeastern Malaysia BACKGROUND: Leptospirosis is a zoonotic disease with a worldwide distribution, especially in developing countries such as Malaysia. This study was designed to explore the knowledge, attitudes, beliefs and practices (KABP) toward leptospirosis among the communities in northeastern Malaysia and to determine the sociodemographic factors associated with the KABP toward leptospirosis. A cross-sectional study using a stratified sampling method was conducted among 214 individuals in four locales in northeastern Malaysia. METHODS: A cross-sectional study was conducted among 214 respondents in northeastern Malaysia using a multi-stage stratified random sampling method. The study population was divided into two groups based on geographical locations: urban and rural. All data were entered and analyzed using the IBM Statistics for Social Sciences (SPSS) version 22.0 software for Windows (IBM, Armonk, NY, USA). The continuous variables were presented using mean and standard deviation (SD), whereas the categorical variables were described using frequency and percentage. Multiple logistic regression was performed to determine the associated factors for good KABP toward leptospirosis among the respondents. RESULTS: It was found that 52.8% of respondents had good knowledge, 84.6% had positive attitudes, 59.8% had positive beliefs, and 53.7% had satisfactory practices. There were no significant sociodemographic factors associated with knowledge and practice, except for educational status, which was significant in the attitude and belief domains. Those with higher education exhibited better attitudes (Odds Ratio (OR) 3.329; 95% Coefficient Interval (CI): 1.140, 9.723; p = 0.028) and beliefs (OR 3.748; 95% CI: 1.485, 9.459; p = 0.005). The communities in northeastern Malaysia generally have good knowledge and a high level of positive attitude; however, this attitude cannot be transformed into practice as the number of people with satisfactory practice habits is much lower compared to those with positive attitudes. As for the belief domain, the communities must have positive beliefs to perceive the threat of the disease. CONCLUSIONS: Our current health program on preventing leptospirosis is good in creating awareness and a positive attitude among the communities, but is not sufficient in promoting satisfactory practice habits. In conclusion, more attention needs to be paid to promoting satisfactory practice habits among the communities, as they already possess good knowledge and positive attitudes and beliefs.",2,,,
28,"Co-administration of BCG and Diphtheria-tetanus-pertussis (DTP) Vaccinations May Reduce Infant Mortality More Than the WHO-schedule of BCG First and Then DTP. A Re-analysis of Demographic Surveillance Data From Rural Bangladesh BACKGROUND: WHO recommends BCG at birth and diphtheria-tetanus-pertussis (DTP)-containing vaccine at 6, 10 and 14weeks of age. However, BCG and DTP are often co-administered in low-income countries. The health implications have not been examined. SETTING: We reanalysed data from Matlab, Bangladesh, to examine the influence of co-administration on mortality; 37,894 children born 1986-1999 were followed with registration of vaccinations and survival. METHODS: Using Cox models, survival was analysed from 6weeks to 9months of age when measles vaccine is given; 712 children died in this age group. We calculated mortality rate ratios (MRR) for children starting the vaccination schedule with BCG-first, BCG+DTP1-first or DTP1-first. RESULTS: Only 17% followed the WHO-schedule with BCG-first. Mortality was 16/1000 person-years for children who initiated the vaccination schedule with BCG+DTP1 but 32/1000 and 20/1000 for children who received BCG-first or DTP-first, respectively. Compared with BCG+DTP1-first and adjusting for background factors, the BCG-first-schedule was associated with 2-fold higher mortality (MRR=1.94 (1.42-2.63)). DTP1 administered after BCG-first was associated with higher mortality than receiving DTP1 with BCG (MRR=1.78 (1.03-3.03)). CONCLUSIONS: Co-administration of BCG and DTP may further reduce mortality. Since all observational studies support this trend, co-administration of BCG and DTP should be tested in randomised trials.",3,,,
29,"Cognitive profiles of elder adult protective services clients living in squalor The purpose of this study was to determine whether squalor-dwelling Adult Protective Services (APS) clients were more cognitively impaired than non-squalor-dwelling APS clients referred for decision-making capacity assessments. The authors performed a retrospective medical record review of neuropsychological and demographic data gathered during decisional capacity assessments. Squalor dwelling was defined by unsanitary living conditions that posed a danger to the occupant's health or safety. Mean neuropsychological test scores were compared between squalor-dwelling (n = 50) and non-squalor-dwelling (n = 180) subjects. Squalor-dwelling clients were significantly younger than non-squalor-dwelling clients. There were no distribution differences among gender, education, race, or rural-dwelling status. Although both groups performed poorly on each neuropsychological measure, squalor dwellers demonstrated better memory and general cognitive performance. Cognition, depression, gender, race, education, dementia diagnosis, and rural-dwelling status seem insufficient to explain squalor-dwelling behaviors. Other biological and psychosocial variables should be considered.",6,,,
30,"Practicalities and challenges in re-orienting the health system in Zambia for treating chronic conditions BACKGROUND: The rapid evolution in disease burdens in low- and middle income countries is forcing policy makers to re-orient their health system towards a system which has the capability to simultaneously address infectious and non-communicable diseases. This paper draws on two different but overlapping studies which examined how actors in the Zambian health system are re-directing their policies, strategies and service structures to include the provision of health care for people with chronic conditions. METHODS: Study methods in both studies included semi-structured interviews with government health officials at national level, and governmental and non-governmental health practitioners operating from community-, primary health care to hospital facility level. Focus group discussions were conducted with staff, stakeholders and caregivers of programmes providing care and support at community- and household levels. Study settings included urban and rural sites. RESULTS: A series of adaptations transformed the HIV programme from an emergency response into the first large chronic care programme in the country. There are clear indications that the Zambian government is intending to expand this reach to patients with non-communicable diseases. Challenges to do this effectively include a lack of proper NCD prevalence data for planning, a concentration of technology and skills to detect and treat NCDs at secondary and tertiary levels in the health system and limited interest by donor agencies to support this transition. CONCLUSION: The reorientation of Zambia's health system is in full swing and uses the foundation of a decentralised health system and presence of local models for HIV chronic care which actively involve community partners, patients and their families. There are early warning signs which could cause this transition to stall, one of which is the financial capability to resource this process.",4,,,
31,"Supply of doctors to a rural region: Occupations of Tromso medical graduates 1979-2012 BACKGROUND: The aim of establishing the medical school in Tromso in 1973 was to improve access to doctors and standards of health care for the previously underprivileged rural population of Northern Norway. In this study we examine how the aim of supplying doctors to the north has been achieved. MATERIAL AND METHODS: By utilising a cross-sectional design we have analysed 34 classes of Tromso medical graduates (1979-2012) with regard to occupations in 2013 by the year of graduation and by successive pools of cohorts. RESULTS: In 2013 altogether 822 of 1611 doctors (51%) were working in Northern Norway. The proportions working in the north for old, intermediate and young cohorts were 37%, 48% and 60%, respectively. Doctors graduating during recent years tended to start their careers in the north to a higher degree than doctors graduating in previous periods. Among doctors from the older classes a relatively large minority have their end-careers in Northern Norway, with a noticeable inclination for long term work in primary care. CONCLUSION: Our results support that the first rural oriented medical education model in Europe established in Tromso 40 years ago is sustainable, achieving its aims.",4,,,
32,"Husband's role in handling pregnancy complications in Mangochi District, Malawi: A call for increased focus on community level male involvement OBJECTIVE: The objective of the current study is to provide information about husbands' role in decision-making and healthcare seeking in cases of pregnancy complications in Mangochi district, Malawi with an analysis of qualitative interviews using the concepts of ""capital"" and ""field"" from Bourdieu's social field theory. STUDY DESIGN: Twelve husbands and wives who had experienced pregnancy complications and six key informants from a semi-rural area of Mangochi district were interviewed individually. Thematic analysis was conducted based on the concepts of capital and field in Bourdieu's social field theory. RESULTS: Husbands have significant economic and symbolic capital in decisions about healthcare seeking during instances of pregnancy complications as a result of their roles as father, head of the household and main income earner. Lack of money is the only acceptable reason for husbands to deny their wives healthcare. Husbands have limited access to knowledge of maternal health, which can compromise their decisions about seeking healthcare. Joint decision-making within families can be bypassed to allow for prompt healthcare seeking in emergencies. CONCLUSIONS: Husbands are important decision makers regarding seeking healthcare for pregnancy complications because of their economic and symbolic power and despite their limited access to knowledge of maternal health. Maternal healthcare seeking practices would benefit from wives gaining an empowered role as well as improved knowledge of maternal health among husbands.",8,,,
33,"Coverage of Large-Scale Food Fortification of Edible Oil, Wheat Flour, and Maize Flour Varies Greatly by Vehicle and Country but Is Consistently Lower among the Most Vulnerable: Results from Coverage Surveys in 8 Countries Background: Large-scale food fortification (LSFF) of commonly consumed food vehicles is widely implemented in low- and middle-income countries. Many programs have monitoring information gaps and most countries fail to assess program coverage.Objective: The aim of this work was to present LSFF coverage survey findings (overall and in vulnerable populations) from 18 programs (7 wheat flour, 4 maize flour, and 7 edible oil programs) conducted in 8 countries between 2013 and 2015.Methods: A Fortification Assessment Coverage Toolkit (FACT) was developed to standardize the assessments. Three indicators were used to assess the relations between coverage and vulnerability: 1) poverty, 2) poor dietary diversity, and 3) rural residence. Three measures of coverage were assessed: 1) consumption of the vehicle, 2) consumption of a fortifiable vehicle, and 3) consumption of a fortified vehicle. Individual program performance was assessed based on the following: 1) achieving overall coverage >/=50%, 2) achieving coverage of >/=75% in >/=1 vulnerable group, and 3) achieving equity in coverage for >/=1 vulnerable group.Results: Coverage varied widely by food vehicle and country. Only 2 of the 18 LSFF programs assessed met all 3 program performance criteria. The 2 main program bottlenecks were a poor choice of vehicle and failure to fortify a fortifiable vehicle (i.e., absence of fortification).Conclusions: The results highlight the importance of sound program design and routine monitoring and evaluation. There is strong evidence of the impact and cost-effectiveness of LSFF; however, impact can only be achieved when the necessary activities and processes during program design and implementation are followed. The FACT approach fills an important gap in the availability of standardized tools. The LSFF programs assessed here need to be re-evaluated to determine whether to further invest in the programs, whether other vehicles are appropriate, and whether other approaches are needed.",5,,,
34,"Household Coverage of Fortified Staple Food Commodities in Rajasthan, India A spatially representative statewide survey was conducted in Rajasthan, India to assess household coverage of atta wheat flour, edible oil, and salt. An even distribution of primary sampling units were selected based on their proximity to centroids on a hexagonal grid laid over the survey area. A sample of n = 18 households from each of m = 252 primary sampling units PSUs was taken. Demographic data on all members of these households were collected, and a broader dataset was collected about a single caregiver and a child in the first 2 years of life. Data were collected on demographic and socioeconomic status; education; housing conditions; recent infant and child mortality; water, sanitation, and hygiene practices; food security; child health; infant and young child feeding practices; maternal dietary diversity; coverage of fortified staples; and maternal and child anthropometry. Data were collected from 4,627 households and the same number of caregiver/child pairs. Atta wheat flour was widely consumed across the state (83%); however, only about 7% of the atta wheat flour was classified as fortifiable, and only about 6% was actually fortified (mostly inadequately). For oil, almost 90% of edible oil consumed by households in the survey was classified as fortifiable, but only about 24% was fortified. For salt, coverage was high, with almost 85% of households using fortified salt and 66% of households using adequately fortified salt. Iodized salt coverage was also high; however, rural and poor population groups were less likely to be reached by the intervention. Voluntary fortification of atta wheat flour and edible oil lacked sufficient industry consolidation to cover significant portions of the population. It is crucial that appropriate delivery channels are utilized to effectively deliver essential micronutrients to at-risk population groups. Government distribution systems are likely the best means to accomplish this goal.",3,,,
35,"My Croatian experience with general/ family practice Despite the differences in organizational level and training of the new generation of family physicians general practice between the United Kingdom and Croatia shows many similarities. This article highlights some of these similarities and differences. It is written after a visit to the Family Medicine Department at School of Public Health ""Andrija Stampar"" and observations in various clinics in multiple locations including rural area in Croatia. Each primary care team in Croatia consists of only a doctor and a practice and a public health nurses with no availability of administration staff As in the United Kingdom they have very heavy workload both clinical and nonclinical. In Croatia the lack of availability of commonly used community services in the United Kingdom brings extra challenges for Croatian colleagues. In Croatia presentation of patients with chronic disease and multiple co-morbidities and overall their management is not significantly different from the general practice of the United Kingdom.",1,,,
36,"Delivery Site Preferences and Associated Factors among Married Women of Child Bearing Age in Bench Maji Zone, Ethiopia BACKGROUND: Efforts to reduce maternal mortality and morbidity must address societal and cultural factors that affect women's health and their access to services. There was no research conducted previously on delivery site preferences and associated factors among married women of child bearing age in the study area. The aim of this study was to assess the delivery site preferences and associated factors among women of child bearing age in Bench Maji Zone, Southwest Ethiopia. METHODS: A community based cross sectional quantitative study design supplemented by qualitative data was conducted from April 20 to May 20, 2013. Simple random sampling to select kebeles and systematic random sampling to contact eligible woman were used. Data was collected using structured questionnaire. Data was analyzed by using SPSS version 16. Logistic regressions analysis was employed to identify potential predictor variables. Odds ratio with 95% confidence interval was used to assess the association of variables. P-value less than 5% was used to declare significant association. RESULTS: Three hundred five (61.9%) of the mothers gave birth at home. Three Hundred ninety six (78.7%) of them had Ante natal care. The preference of facility delivery was 412(88.3%). Age of women, mothers' educational level, and place of delivery of the last baby, perception of mothers about pregnancy and health care workers significantly affected delivery site preference. CONCLUSION: Most of the women attended Ante natal care. However, only some had actually delivered at health facilities to their last pregnancy. Community members should get health education to reduce misconceptions on delivering in health facility.",7,,,
37,"Establishing trust in HIV/HCV research among people who inject drugs (PWID): Insights from empirical research BACKGROUND: The establishment of trust between researchers and participants is critical to advance HIV and HCV prevention particularly among people who inject drugs (PWID) and other marginalized populations, yet empirical research on how to establish and maintain trust in the course of community health research is lacking. This paper documents ideas about trust between research participants and researchers amongst a sub-sample of PWID who were enrolled in a large, multi-year community health study of social networks and HIV/HCV risk that was recently conducted in rural Puerto Rico. METHODS: Qualitative research was nested within a multi-year Social Network and HIV/HCV Risk study involving N = 360 PWID > 18 years of age living in four small, rural Puerto Rican communities. Semi-structured interviews were conducted between March 2017 and April 2017 with a subset of 40 active PWID who had been enrolled in the parent study. Interview questions invited participants to draw upon their recent experience as research participants to better understand how PWID perceive and understand participant-researcher trust within the context of HIV/HCV-related epidemiological research. RESULTS: Fear of police, stigma and concerns regarding confidentiality and anonymity were identified as structural factors that could compromise participation in HIV/HCV-related research for PWID. While monetary compensation was an important motivation, participants also valued the opportunity to learn about their HIV/HCV status. During their participation in the study, gaining knowledge of safe injection practices was perceived as a valuable benefit. Participant narratives suggested that PWID may adopt an incremental and ongoing approach in their assessment of the trustworthiness of researchers, continuously assessing the extent to which they trust the research staff throughout the course of the research. Trust was initially generated through peer Respondent Driven Sampling recruitment. Research staff who maintained a presence in the community for the entire duration of the prospective study reinforced trust between participants and the research team. CONCLUSION: Although PWID face numerous structural barriers to research-related trust in HIV/HCV research, we found that using a peer-based recruitment method like RDS, and employing a research staff who are knowledgeable about the targeted population, culturally sensitive to their needs, and who maintain a long-term presence in the community may help mitigate many of these barriers. The reputation of the research is built incrementally as participants join the study. This contributes to a ""street reputation"" that grows as current or former participants vouch for the study. Establishing trust was identified as only the first step towards building a collaborative relationship with participants, and our findings suggest that steps to address criminalization and stigmatization also are necessary to support research trust.",6,,,
38,"Assessment of potential impacts of climate change on agricultural development in the Lower Benue River Basin Agriculture in the Lower Benue River Basin faces several challenges which threaten the future of agricultural development. This study was an assessment of potential impacts of climate change on agricultural development in the Lower Benue River Basin. Through analysis of physical and socioeconomic parameters, the study adapted an impact assessment model to rank potential impacts on agricultural development in the study area. Rainfall intensity seemed to be increasing with a gradual reduction in the number of rainy days. The average discharge at Makurdi hydrological station was 3468.24 cubic metres per second (m(3) s(-1)), and the highest peak flow discharge was 16,400 m(3) s(-1). The daily maximum temperature and annual temperature averages for the study area are gradually rising leading to increased heat stress. Physical and chemical analyses showed that the soils are moderately fertile but require effective application of inorganic and organic fertilisers. The main occupational activities in the study area are agricultural based. The identified potential impacts of climate change on agriculture were categorised under atmospheric carbon dioxides and oxides, rainfall intensity, frequency of floods and droughts, temperature intensity and variation, heat stress, surface water trends, and soil quality and fertility. The identified potential impacts related to population dynamics on agriculture were categorised under population growth, rural-urban migration, household income and infectious diseases and HIV and AIDS. Community-level mitigation strategies were proffered. Policy makers are advised to promote irrigation farming, support farmers with farm inputs and credit facilities and establish active agricultural extension services to support the sustainable development of agriculture.",5,,,
39,"Vaccine hesitancy among mobile pastoralists in Chad: a qualitative study BACKGROUND: Demand side barriers to vaccination among rural and hard-to-reach populations in Chad are not yet well understood. Although innovative approaches such as linking human and animal vaccination increase vaccination uptake among mobile pastoralist communities, vaccination coverage in these communities is still lower than for rural settled populations. We hypothesize that mobile pastoralists' communities in Chad face specific demand side barriers to access vaccination services. Understanding the factors that caregivers in these communities consider, explicitly or implicitly, in order to decide whether or not to vaccinate a child, in addition to understanding the provider's perspectives, are essential elements to tailor vaccination programmes towards increasing vaccination acceptance and uptake. METHODS: We conducted a qualitative study in a rural health district in southern Chad in April 2016 with 12 key informant in-depth interviews and four focus group discussions (FGDs) including 35 male and female participants. Participants in the study included caregivers, traditional chiefs, local and religious leaders from mobile pastoralist communities, and health officials and staff. We conducted a content analysis using a pre-defined set of categories for vaccine hesitancy covering issues on harmful effects of vaccination, mistrust with vaccination programmes/services, issues with the health system and other issues. RESULTS: The groups of demand side barriers reported most frequently in focus group discussions were mistrust on the expanded programme on immunization (EPI) and polio vaccination outreach services (53%, n = 94), followed by health system issues (34%, n = 94), and concerns related to potential harm of vaccines (13%, n = 94). Concerns identified by caregivers, health professionals and community leaders followed a similar pattern with issues on programme mistrust being most frequently reported and issues with harm least frequently reported. None of the health professionals reported concerns about vaccinations being potentially harmful. CONCLUSION: Mobile pastoralist communities face specific demand side barriers to vaccination. Understanding these barriers is essential to reduce vaccine hesitancy and increase vaccination uptake. Local health systems must plan for the periodic presence of pastoralist communities in their zones of responsibility and create more mutual trust.",4,,,
40,"Service user involvement in mental health system strengthening in a rural African setting: qualitative study BACKGROUND: It is essential to involve service users in efforts to expand access to mental health care in integrated primary care settings in low- and middle-income countries (LMICs). However, there is little evidence from LMICs to guide this process. The aim of this study was to explore barriers to, and facilitators of, service user/caregiver involvement in rural Ethiopia to inform the development of a scalable approach. METHODS: Thirty nine semi-structured interviews were carried out with purposively selected mental health service users (n = 13), caregivers (n = 10), heads of primary care facilities (n = 8) and policy makers/planners/service developers (n = 8). The interviews were audio-recorded and transcribed in Amharic, and translated into English. Thematic analysis was applied. RESULTS: All groups of participants supported service user and caregiver involvement in mental health system strengthening. Potential benefits were identified as (i) improved appropriateness and quality of services, and (ii) greater protection against mistreatment and promotion of respect for service users. However, hardly any respondents had prior experience of service user involvement. Stigma was considered to be a pervasive barrier, operating within the health system, the local community and individuals. Competing priorities of service users included the need to obtain adequate individual care and to work for survival. Low recognition of the potential contribution of service users seemed linked to limited empowerment and mobilization of service users. Potential health system facilitators included a culture of community oversight of primary care services. All groups of respondents identified a need for awareness-raising and training to equip service users, caregivers, service providers and local community for involvement. Empowerment at the level of individual service users (information about mental health conditions, care and rights) and the group level (for advocacy and representation) were considered essential, alongside improved, accessible mental health care and livelihood interventions. CONCLUSION: As Ethiopia increases access to mental health care, a fundamental barrier to service user involvement is beginning to be addressed. Our study identified further barriers that need to be tackled, including a supportive political climate, and receptiveness amongst stakeholders. The findings will inform the development of a model of service user involvement, which will be piloted and evaluated.",8,,,
41,"Development of programme theory for integration of service user and caregiver involvement in mental health system strengthening: protocol for realist systematic review Background: There is international recognition of the need for service user and caregiver involvement in mental health system strengthening. However, little is known about how best to integrate this approach into the mental healthcare system; what works to advance involvement, under what conditions, how and when does involvement bring added value, and how can it work in resource-poor settings in low and middle-income countries. Objective: To describe the methodology for a realist systematic review protocol to synthesise the evidence to explain the contexts, outcomes, and underlying mechanisms for involvement of service users with severe mental health problems and their caregivers in mental healthcare policy-making and planning, advocacy, service development, monitoring and improvement. Methods/designs: The proposed realist systematic review will involve five steps: (i) clarifying the review scope, (ii) a systematic search for evidence, (iii) evidence appraisal and data extraction, (iv) data analysis, (v) synthesis of evidence and formation of revised programme theory. Inputs from a formative qualitative study, consultative Theory of Change meetings with key stakeholder groups, and scoping reviews will be used to identify candidate theory/theories that will guide the selection, appraisal and analysis of studies, and refine the Theory of Change model that will be piloted and evaluated. Synthesis of data will be undertaken using realist logic, constant comparison and thematic analysis. In a consultative meeting with stakeholders the Theory of Change model will then be situated with respect to relevant programme theories and adapted to incorporate the synthesized evidence of relevance to the local context. The finalized Theory of Change model will be piloted and evaluated in a primary health care setting in rural Ethiopia. Discussion: Realist review methodology has not been applied to the area of mental health service user involvement in low- and middle-income country settings. In this protocol, we describe how this contextualized approach will be applied to identify and refine a theory-driven and transferable model of involvement of service users, embedded in ongoing work in Ethiopia.Systematic review registration PROSPERO CRD42018084595.",8,,,
42,"Sustainable survival under climatic extremes: linking flood risk mitigation and coping with flood damages in rural Pakistan Various measures are adopted by flood-prone households for the mitigation of flood risk along with various post-flood coping strategies. We analyze the role of various ex ante household-level flood mitigation strategies in influencing riverine flood damages. The study also presents an account on the linkages of various ex post coping strategies and flood damages experienced in a flood event in Pakistan. For achieving a uniform flood damage indicator, polychoric principle component analysis (PCA) is employed to construct a composite flood damage index considering various aspects of economic, social, and psychological impacts of a flood event. The adjusted flood damage index is regressed on various socioeconomic features and ex ante mitigation actions to know their effect on the former. Results indicate that distance from river, elevating house, and pre-shifting investigating about flooding problem help in significantly reducing the overall flood damages. Likewise, group-based actions like voting political candidates based on their flood-control promises, organizing grass-root group meetings, and raising voices through memos/petitions are found to significantly reduce flood-related damages while leaving house premises before flooding is found to increase the overall flood damage. Post-flood coping strategies comprise of social and financial support along with some livelihood diversification and disinvestment strategies such as selling livestock, jewelry, and withdrawing children from schools. Borrowing money, reducing food consumption, and agricultural diversification are more prevalent strategies among low and medium damage groups while consuming savings is more conspicuous among high damage group. The study concludes with the emphasis on policy interventions for effective early warning, location-specific flood intensity information, and proper streamlining of planning process and compensation system.",4,,,
43,"Gestational weight gain and its related social and demographic factors in health care settings of rural and urban areas in northwest Iran The current study was aimed to evaluate gestational weight gain and its socio-demographic determinants among pregnant women in north-west of Iran. In the current cross-sectional study, four hundred eighty one pregnant women aged 26.12 +/- 7.45 years were enrolled. Data on pre-pregnancy weight, height, age, educational attainment, parity, household size, hemoglobin status and total pregnancy weight gain were extracted from routine health center records. The pregnant women were categorized based on their pre-pregnancy body mass index (BMI) as underweight, normal weight and overweight or obese according to the 2009 Institute of Medicine (IOM) recommendations. Participants were also classified according to their educational level into three 'some school', 'high school' and 'college' groups. Gestational weight gain in 27.6% of pregnant women was in normal IOM recommended range; while, weight gain in 49% and 23.2% of pregnant women was below and above recommended range respectively. Women with high educational attainment (>/=12 years) have significantly higher weight gain compared with low-educated women (<12 years) (P < 0.001). Age was in negative relationship with gestational weigh gain even after adjusting for confounder effects of residency, educational attainment and household size (r = 0.2, P < 0.001). Our data showed a high prevalence of abnormal gestational weight gain in pregnant women attending to public health centers in northwest of Iran. Moreover educational level, parity and age were significant determinants of gestational weight gain in pregnancy. Special attention should be focused on prenatal nutritional status and health care programs in current health care services in Iran.",7,,,
44,"Comparison of methods to assess adherence to small-quantity lipid-based nutrient supplements (SQ-LNS) and dispersible tablets among young Burkinabe children participating in a community-based intervention trial Adherence to supplementation provided during an intervention trial can affect interpretation of study outcomes. We compared different approaches for estimating adherence to small-quantity lipid-based nutrient supplements (SQ-LNS) and dispersible tablets in a randomised clinical trial in Burkina Faso. A total of 2435 children (9-18 months) were randomly assigned to receive daily 20 g SQ-LNS with varying contents of zinc and a dispersible tablet containing 0 or 5 mg zinc. Adherence to SQ-LNS and tablets was assessed for all children through weekly caregiver interviews, and disappearance rate was calculated based on empty and unused packages returned during home visits. Additional adherence data were collected in different randomly selected subgroups of children: 12-h home observations were completed for children 11 and 16 months of age (n = 192) to assess consumption of SQ-LNS and dispersible tablets, and plasma zinc concentration was measured at baseline and 18 months (n = 310). Apparent adherence to SQ-LNS and dispersible tablets differed according to the assessment method used. Average daily caregiver-reported adherence to both SQ-LNS and dispersible tablets was 97 +/- 6%. Disappearance rates showed similarly high average weekly adherence (98 +/- 4%). In contrast, only 63% and 54% of children at 11 and 16 months, respectively, received SQ-LNS during the 12-h home observation periods, and fewer (32% and 27%) received a tablet. The lack of change in plasma zinc concentration after 9 months of supplementation suggests low adherence to the zinc tablet. Better methods are needed to assess adherence in community-based supplementation trials.",5,,,
45,"Development of a theory and evidence-based program to promote community treatment of fevers in children under five in a rural district in Southern Ghana: An intervention mapping approach BACKGROUND: This paper describes the development and implementation of a program to promote prompt and appropriate care seeking for fever in children under the age of five. Designed as a multicomponent program, the intervention comprises elements to influence the behavior of caregivers of children, Community Health Workers, professional health care providers and the wider community. METHODS: Following the six fundamental steps of the Intervention Mapping protocol, we involved relevant stakeholders from the commencement of planning to program end. The IM protocol also recommends various behavior change methods to guide intervention development. RESULTS: The intervention components implemented were successful in achieving program goals. For example, the intervention resulted in the primary outcome of reductions in all-cause mortality of 30% and 44%, among children treated with an antimalarial and those treated with the antimalarial plus an antibiotic respectively. Most Community Health Workers were retained on the program, with an attrition rate of 21.2% over a period of 30 months and the Community Health Workers rate of adherence to performance guidelines was high at 94.6%. CONCLUSION: We were able to systematically develop a theory- and evidence-based health promotion program based on the Intervention Mapping protocol. This article contributes to the response to recent calls for a more detailed description of the development of interventions and trials. The intervention mapping approach can serve as a guide for others interested in developing community- based health interventions in similar settings.",5,,,
46,"Factors related to retention of community health workers in a trial on community-based management of fever in children under 5 years in the Dangme West District of Ghana BACKGROUND: In resource-constrained settings of developing countries, promotion of community-based health interventions through community health workers (CHWs) is an important strategy to improve child health. However, there are concerns about the sustainability of such programmes owing to the high rate of CHW attrition. This study examined factors influencing retention of volunteer CHWs in a cluster randomised trial on community management of under-5 fever in a rural Ghanaian district. METHODS: Data were obtained from structured interviews (n=520) and focus group discussions (n=5) with CHWs. Factors influencing CHWs' decisions to remain or leave the programme were analysed using a probit model, and focus group discussion results were used to elucidate the findings. RESULTS: The attrition rate among CHWs was 21.2%. Attrition was comparatively higher in younger age groups (25.9% in 15-25 years group, 18.2% in 26-45 years group and 16.5% in >/=46 years group). Approval of a CHW by the community (p<0.001) and the CHW's immediate family (p<0.05) were significant in influencing the probability of remaining in the programme. Motivation for retention was related to the desire to serve their communities as well as humanitarian and religious reasons. CONCLUSION: The relatively moderate rate of attrition could be attributed to the high level of community involvement in the selection process as well as other aspects of the intervention leading to high community approval and support. Attention for these aspects could help improve CHW retention in community-based health interventions in Ghana, and the lessons could be applied to countries within similar settings.",4,,,
47,"Community perceptions and practices of treatment seeking for childhood pneumonia: a mixed methods study in a rural district, Ghana BACKGROUND: The World Health Organization recommends community case management of malaria and pneumonia for reduction of under-five mortality in developing countries. Caregivers' perception and understanding of the illness influences the care a sick child receives. Studies in Ghana and elsewhere have routinely shown adequate recognition of malaria by caregivers. Similarly, evidence from Asia and some African countries have shown adequate knowledge on pneumonia. However, in Ghana, little has been documented about community awareness, knowledge, perceptions and management of childhood pneumonia particularly in the Dangme West district. Therefore this formative study was conducted to determine community perceptions of pneumonia for the purpose of informing the design and implementation of context specific health communication strategies to promote early and appropriate care seeking behaviour for childhood pneumonia. METHODS: A mixed method approach was adopted. Data were obtained from structured interviews (N = 501) and eight focus group discussions made up of 56 caregivers of under-fives and eight community Key Informants. Descriptive and inference statistics were used for the quantitative data and grounded theory to guide the analysis of the qualitative data. RESULTS: Two-thirds of the respondents had never heard the name pneumonia. Most respondents did not know about the signs and symptoms of pneumonia. For the few who have heard about pneumonia, causes were largely attributed to coming into contact with cold temperature in various forms. Management practices mostly were self-treatment with home remedies and allopathic care. CONCLUSION: The low awareness and inadequate recognition of pneumonia implies that affected children may not receive prompt and appropriate treatment as their caregivers may misdiagnose the illness. Adequate measures need to be taken to create the needed awareness to improve care seeking behaviour.",4,,,
48,"GP surgeons: what are they? An audit of GP surgeons in South Australia INTRODUCTION: In many parts of Australia where there is no access to local specialist services, procedural services are provided by local GPs. Within the range of procedural skills offered, a small group of GPs is able to provide surgery. Unlike other procedural areas, there remains no defined training or assessment pathway for GP surgeons. Support from specialist colleagues is variable and continuing education arbitrary. The result is a somewhat ill-defined group that is poorly understood by credentialing bodies, government, medical defence organisations and training colleges. This study aims to describe the scope of practice, initial training and ongoing support and education for GP surgeons currently practising in South Australia. METHODS: Seventeen semistructured interviews were undertaken with self-identified GP surgeons (74% response rate). Areas explored included demographics, scope of practice, initial training and ongoing support and education. Content and thematic analysis was used to identify common responses and themes. RESULTS: The amount of initial training varied among participants, with a mean duration of training of 20 months. Initial assessment of competency for the majority of participants was assessment by a supervisor (10/17). The most common procedures undertaken were caesarean sections (94% of participants) and grafts and flaps (94%). The most common continuing professional development was clinical attachments (27%) and assisting visiting specialists or colleagues (17%). CONCLUSIONS: This study demonstrates a wide variation in training, scope of practice and continuing education for GPs performing surgery, highlighting the effects of a self-regulated system. There is a trend towards an increased level of training; however, engagement in continuing education remains low. Further work is needed to define this group, to enable successful planning of future training and education to support this group in rural areas.",1,,,
